Symbol,Name,Last,Change,%Chg,Open,High,Low,Time
$SPX,"S&P 500 Index",6475.74,9.8000000000002,+0.15%,6462.26,6477.24,6457.84,"10:25 ET"
$ONE,"S&P 100 Index",3205.07,3.96,+0.12%,3199.05,3205.76,3194.72,"10:25 ET"
$IDX,"S&P Midcap 400",3259.83,14.87,+0.46%,3242.53,3268.47,3240.75,"10:30 ET"
$IQY,"S&P Smallcap 600",1439.27,4.5899999999999,+0.32%,1433.2,1444.67,1432.16,"10:30 ET"
$ESG,"S&P 500 ESG",563.11,0.84000000000003,+0.15%,561.6,563.37,561.58,"10:30 ET"
$IGX,"S&P 500 Growth",4660.74,6.9899999999998,+0.15%,4651.99,4662.83,4638.78,"10:30 ET"
$IVX,"S&P 500 Value",2000.15,2.5800000000002,+0.13%,1995.99,2003.83,1994.95,"10:30 ET"
$IQX,"S&P 500 Equal Weighted",7623.36,10.74,+0.14%,7612.62,7644,7601.37,"10:30 ET"
$SFTI,"S&P 500 Index Total Return",976.54,1.16,+0.12%,975.49,976.88,973.98,"10:30 ET"
$SRFI,"S&P 500 Financials [Sector]",893.6,2.1700000000001,+0.24%,889.7,895.08,889.2,"10:30 ET"
$SRHC,"S&P 500 Health Care [Sector]",1593.95,0.17000000000007,+0.01%,1593.13,1601.51,1591.66,"10:30 ET"
$SREN,"S&P 500 Energy [Sector]",675.5,5.16,+0.77%,669.29,678.38,669.29,"10:30 ET"
$SRIT,"S&P 500 Information Technology [Sector]",5267.84,6.4899999999998,+0.12%,5259.51,5269.78,5234.42,"10:30 ET"
$SRTS,"S&P 500 Communication Services [Sector]",399.14,0.81,+0.20%,396.8,399.31,396.8,"10:30 ET"
$SRCD,"S&P 500 Consumer Discretionary [Sector]",1881.03,5.6900000000001,+0.30%,1875.38,1882.22,1875.03,"10:30 ET"
$SRCS,"S&P 500 Consumer Staples [Sector]",882.67,-1.1,-0.12%,882.56,884.62,881.5,"10:30 ET"
$SRIN,"S&P 500 Industrials [Sector]",1293.62,-0.8,-0.06%,1292.66,1296.55,1291.96,"10:30 ET"
$SRMA,"S&P 500 Materials [Sector]",581.95,-0.99,-0.17%,580.37,583.51,580.16,"10:30 ET"
$SRRE,"S&P 500 Real Estate [Sector]",263.84,0.57999999999998,+0.22%,263.63,265.43,263.63,"10:30 ET"
$SRUT,"S&P 500 Utilities [Sector]",430.89,-0.4,-0.09%,431.27,432.44,430.62,"10:30 ET"
$DOWI,"Dow Jones Industrial Average",45504.85,86.779999999999,+0.19%,45417.46,45557.82,45372.78,"10:30 ET"
$DOWT,"Dow Jones Transportation Average",15897.8,34.59,+0.22%,15851.2,15949.78,15810.96,"10:30 ET"
$DOWU,"Dow Jones Utility Average",1098.11,-1.05,-0.10%,1098.85,1101.52,1097.46,"10:30 ET"
$DOWC,"Dow Jones Composite Average",14187.94,22.67,+0.16%,14162.31,14208.97,14144.37,"10:30 ET"
$IUXX,"Nasdaq 100 Index",23533.66,8.369999999999,+0.04%,23499.67,23541.88,23434.31,"10:25 ET"
$NASX,"Nasdaq Composite",21567.08,22.810000000001,+0.11%,21526.33,21574.7,21476.3,"10:25 ET"
$HGX,"PHLX Housing Index",744.93,-0.87,-0.12%,744.16,749.13,744.16,"10:25 ET"
$OSX,"PHLX Oil Service",64.58,0.88,+1.38%,63.84,65.16,63.77,"10:25 ET"
$SOX,"PHLX Semiconductor Index",5785.82,-22.1,-0.38%,5789.72,5794.01,5766.77,"10:25 ET"
$UTY,"PHLX Utility Index",1054.66,-2.02,-0.19%,1057.23,1059.18,1054.16,"10:25 ET"
$XAU,"PHLX Gold/Silver Index",240.99,-3.07,-1.26%,242.12,242.16,239.84,"10:25 ET"
$VIX,"CBOE Volatility Index",14.88,0.26,+1.78%,14.66,15.01,14.66,"10:25 ET"
$VXN,"Nasdaq 100 VIX",18.65,0.46,+2.53%,18.72,18.89,18.49,"10:25 ET"
$GNX,"S&P GSCI Index",544.92,1.79,+0.33%,543.13,544.97,541.2,"10:30 ET"
$BCI,"DJ Commodity Index",1055.44,0.49000000000001,+0.05%,1055.56,1057.25,1051.27,"10:30 ET"
$DXY,"U.S. Dollar Index",98.6,0.38,+0.39%,98.27,98.73,98.24,"10:30 ET"
"Downloaded from Barchart.com as of 08-27-2025 09:40am CDT"
