Symbol,Name,Last,Change,%Chg,Open,High,Low,Time
$SPX,"S&P 500 Index",6445.81,6.4900000000007,+0.10%,6435.49,6448.9,6429.21,"12:26 ET"
$ONE,"S&P 100 Index",3190.48,4.3699999999999,+0.14%,3184.83,3192.15,3178.2,"12:26 ET"
$IDX,"S&P Midcap 400",3250.78,19.39,+0.60%,3236.78,3253.87,3236.78,"12:31 ET"
$IQY,"S&P Smallcap 600",1438.33,8.3799999999999,+0.59%,1428.84,1438.39,1428.56,"12:31 ET"
$ESG,"S&P 500 ESG",560.74,0.48000000000002,+0.09%,559.91,560.97,559.06,"12:31 ET"
$IGX,"S&P 500 Growth",4639.21,13.41,+0.29%,4623.87,4641.04,4616.57,"12:31 ET"
$IVX,"S&P 500 Value",1992.54,-1.19,-0.06%,1992.13,1994.18,1989.33,"12:31 ET"
$IQX,"S&P 500 Equal Weighted",7601.56,-5.19,-0.07%,7606.75,7618.89,7589.51,"12:31 ET"
$SFTI,"S&P 500 Index Total Return",972.44,1.24,+0.13%,971.31,972.67,967.63,"12:31 ET"
$SRFI,"S&P 500 Financials [Sector]",885.25,0.51999999999998,+0.06%,882.81,885.43,882.55,"12:31 ET"
$SRHC,"S&P 500 Health Care [Sector]",1593.36,8.3099999999999,+0.52%,1588.7,1594.64,1585.65,"12:31 ET"
$SREN,"S&P 500 Energy [Sector]",665.23,-6.48,-0.96%,669.04,670.02,664.34,"12:31 ET"
$SRIT,"S&P 500 Information Technology [Sector]",5254.24,20.42,+0.39%,5237.03,5258.64,5220.84,"12:31 ET"
$SRTS,"S&P 500 Communication Services [Sector]",397.97,-1.43,-0.36%,398.12,398.43,396.33,"12:31 ET"
$SRCD,"S&P 500 Consumer Discretionary [Sector]",1867.28,-0.13,-0.01%,1865.63,1868.29,1863.24,"12:31 ET"
$SRCS,"S&P 500 Consumer Staples [Sector]",881.96,-5.85,-0.66%,886.23,887.09,881.36,"12:31 ET"
$SRIN,"S&P 500 Industrials [Sector]",1288.26,7.05,+0.55%,1281.02,1289.14,1281.02,"12:31 ET"
$SRMA,"S&P 500 Materials [Sector]",581.41,0.87,+0.15%,578.78,581.73,578.36,"12:31 ET"
$SRRE,"S&P 500 Real Estate [Sector]",262.76,-1.35,-0.51%,263.44,264.58,262.38,"12:30 ET"
$SRUT,"S&P 500 Utilities [Sector]",430.37,0.04000000000002,+0.01%,430.79,431.41,428.8,"12:31 ET"
$DOWI,"Dow Jones Industrial Average",45291.46,8.989999999998,+0.02%,45236.83,45311.52,45192.29,"12:31 ET"
$DOWT,"Dow Jones Transportation Average",15845.62,31.060000000001,+0.20%,15768.74,15853.01,15739.21,"12:31 ET"
$DOWU,"Dow Jones Utility Average",1096.36,0.6099999999999,+0.06%,1096.34,1097.73,1092.57,"12:31 ET"
$DOWC,"Dow Jones Composite Average",14131.37,8.8400000000001,+0.06%,14105.39,14132.35,14094.38,"12:31 ET"
$IUXX,"Nasdaq 100 Index",23475.61,50.010000000002,+0.21%,23420.85,23489.76,23369.04,"12:26 ET"
$NASX,"Nasdaq Composite",21497.36,48.07,+0.22%,21443.63,21511.26,21389.1,"12:26 ET"
$HGX,"PHLX Housing Index",748.82,-0.26,-0.03%,748.15,751.31,745.99,"12:26 ET"
$OSX,"PHLX Oil Service",63.89,-0.44,-0.68%,63.81,64.39,63.64,"12:26 ET"
$SOX,"PHLX Semiconductor Index",5816.7,60.4,+1.05%,5780.14,5824.07,5777.55,"12:26 ET"
$UTY,"PHLX Utility Index",1053.11,-2.8,-0.27%,1056.29,1058.72,1050.7,"12:26 ET"
$XAU,"PHLX Gold/Silver Index",242.86,3.46,+1.45%,239.77,243.59,239.77,"12:26 ET"
$VIX,"CBOE Volatility Index",14.83,0.040000000000001,+0.27%,15.75,15.75,14.78,"12:26 ET"
$VXN,"Nasdaq 100 VIX",18.36,-0.06,-0.33%,18.82,18.99,18.28,"12:26 ET"
$GNX,"S&P GSCI Index",543.41,-5.22,-0.95%,548.63,548.63,543.07,"12:31 ET"
$BCI,"DJ Commodity Index",1055.14,-6.96,-0.66%,1062.1,1062.1,1054.52,"12:31 ET"
$DXY,"U.S. Dollar Index",98.12,-0.31,-0.31%,98.47,98.56,98.08,"12:31 ET"
"Downloaded from Barchart.com as of 08-26-2025 11:41am CDT"
