Symbol,Name,Last,Change,%Chg,Open,High,Low,Time
$SPX,"S&P 500 Index",6459.78,-42.08,-0.65%,6489.28,6491.76,6449.52,"10:35 ET"
$ONE,"S&P 100 Index",3195.97,-24.23,-0.75%,3212.23,3213.9,3189.42,"10:35 ET"
$IDX,"S&P Midcap 400",3253.89,-17.81,-0.54%,3270.93,3275.82,3251.66,"10:40 ET"
$IQY,"S&P Smallcap 600",1438.19,-5.34,-0.37%,1444.31,1446.85,1436.48,"10:40 ET"
$ESG,"S&P 500 ESG",562.17,-2.95,-0.52%,563.95,563.95,560.83,"10:40 ET"
$IGX,"S&P 500 Growth",4633.83,-51.11,-1.09%,4670.24,4670.57,4620.74,"10:40 ET"
$IVX,"S&P 500 Value",2004.88,-1.13,-0.06%,2004.9,2009.85,2002.26,"10:40 ET"
$IQX,"S&P 500 Equal Weighted",7621.4,-14.17,-0.19%,7635.57,7656.37,7614.19,"10:40 ET"
$SFTI,"S&P 500 Index Total Return",974.32,-6.55,-0.67%,980.98,980.98,972.44,"10:40 ET"
$SRFI,"S&P 500 Financials [Sector]",896.06,1.4,+0.16%,895.8,898.01,893.6,"10:40 ET"
$SRHC,"S&P 500 Health Care [Sector]",1591.32,4.78,+0.30%,1586.78,1596.03,1586.2,"10:40 ET"
$SREN,"S&P 500 Energy [Sector]",683.77,1.0699999999999,+0.16%,683.9,688.45,682.73,"10:40 ET"
$SRIT,"S&P 500 Information Technology [Sector]",5246.55,-74.85,-1.41%,5298.49,5298.49,5221.89,"10:40 ET"
$SRTS,"S&P 500 Communication Services [Sector]",399.88,-1.86,-0.46%,399.82,401.42,398.54,"10:40 ET"
$SRCD,"S&P 500 Consumer Discretionary [Sector]",1866.63,-14.94,-0.79%,1882.12,1884.29,1863.3,"10:40 ET"
$SRCS,"S&P 500 Consumer Staples [Sector]",885.18,3.5699999999999,+0.40%,883.06,887.06,881.52,"10:40 ET"
$SRIN,"S&P 500 Industrials [Sector]",1282.92,-13.45,-1.04%,1294.34,1294.82,1281.51,"10:40 ET"
$SRMA,"S&P 500 Materials [Sector]",584.35,0.25999999999999,+0.04%,584.1,586.91,583.76,"10:40 ET"
$SRRE,"S&P 500 Real Estate [Sector]",264.46,0.75,+0.28%,264.02,264.89,264.02,"10:39 ET"
$SRUT,"S&P 500 Utilities [Sector]",427.69,-0.11,-0.03%,427.59,428.4,427.04,"10:40 ET"
$DOWI,"Dow Jones Industrial Average",45499.87,-137.03,-0.30%,45590.96,45616.16,45385.05,"10:40 ET"
$DOWT,"Dow Jones Transportation Average",15875.16,-27.74,-0.17%,15890.49,15959.57,15841.03,"10:40 ET"
$DOWU,"Dow Jones Utility Average",1092.33,0.18999999999983,+0.02%,1091.77,1093.17,1089.54,"10:40 ET"
$DOWC,"Dow Jones Composite Average",14172.99,-33.04,-0.23%,14193.63,14210.61,14143.13,"10:40 ET"
$IUXX,"Nasdaq 100 Index",23441.29,-262.16,-1.11%,23607.54,23607.54,23385.67,"10:35 ET"
$NASX,"Nasdaq Composite",21476.85,-228.31,-1.05%,21630.33,21631.15,21426.73,"10:35 ET"
$HGX,"PHLX Housing Index",743.08,-2.16,-0.29%,744.96,747.55,742,"10:35 ET"
$OSX,"PHLX Oil Service",65.36,-0.07,-0.11%,65.44,65.93,65.31,"10:35 ET"
$SOX,"PHLX Semiconductor Index",5695.03,-158.02,-2.70%,5757.97,5758.7,5666.34,"10:35 ET"
$UTY,"PHLX Utility Index",1044.99,-0.59,-0.06%,1044.83,1047.31,1044.31,"10:35 ET"
$XAU,"PHLX Gold/Silver Index",245.9,3.68,+1.52%,242.52,246,242.45,"10:35 ET"
$VIX,"CBOE Volatility Index",15.38,0.95,+6.58%,14.31,15.97,14.31,"10:35 ET"
$VXN,"Nasdaq 100 VIX",18.78,1.16,+6.58%,18.07,19.44,17.91,"10:35 ET"
$GNX,"S&P GSCI Index",547.79,-0.93,-0.17%,548.72,549.18,547.16,"10:40 ET"
$BCI,"DJ Commodity Index",1063.41,0.13000000000011,+0.01%,1063.17,1064.9,1061.32,"10:40 ET"
$DXY,"U.S. Dollar Index",97.77,-0.04,-0.04%,97.88,98.13,97.76,"10:40 ET"
"Downloaded from Barchart.com as of 08-29-2025 09:50am CDT"
