Symbol,Name,Last,Change,%Chg,Open,High,Low,Time
$SPX,"S&P 500 Index",6478.68,12.740000000001,+0.20%,6462.26,6480.69,6457.84,"12:05 ET"
$ONE,"S&P 100 Index",3206.5,5.3899999999999,+0.17%,3199.05,3207.62,3194.72,"12:05 ET"
$IDX,"S&P Midcap 400",3264.87,19.91,+0.61%,3242.53,3268.47,3240.75,"12:10 ET"
$IQY,"S&P Smallcap 600",1442.28,7.5999999999999,+0.53%,1433.2,1444.67,1432.16,"12:10 ET"
$ESG,"S&P 500 ESG",563.53,1.26,+0.22%,561.6,563.61,561.58,"12:10 ET"
$IGX,"S&P 500 Growth",4662.88,9.1300000000001,+0.20%,4651.99,4665.5,4638.78,"12:10 ET"
$IVX,"S&P 500 Value",2002.01,4.4400000000001,+0.22%,1995.99,2003.83,1994.95,"12:10 ET"
$IQX,"S&P 500 Equal Weighted",7629.55,16.93,+0.22%,7612.62,7644,7601.37,"12:10 ET"
$SFTI,"S&P 500 Index Total Return",977.25,1.87,+0.19%,975.49,977.44,973.98,"12:10 ET"
$SRFI,"S&P 500 Financials [Sector]",894.17,2.74,+0.31%,889.7,896,889.2,"12:10 ET"
$SRHC,"S&P 500 Health Care [Sector]",1594.01,0.23000000000002,+0.01%,1593.13,1601.51,1590.48,"12:10 ET"
$SREN,"S&P 500 Energy [Sector]",676.85,6.51,+0.97%,669.29,678.38,669.29,"12:10 ET"
$SRIT,"S&P 500 Information Technology [Sector]",5281.27,19.92,+0.38%,5259.51,5281.82,5234.42,"12:10 ET"
$SRTS,"S&P 500 Communication Services [Sector]",397.59,-0.74,-0.19%,396.8,399.35,396.65,"12:10 ET"
$SRCD,"S&P 500 Consumer Discretionary [Sector]",1877.87,2.53,+0.13%,1875.38,1882.34,1875.03,"12:10 ET"
$SRCS,"S&P 500 Consumer Staples [Sector]",883.67,-0.1,-0.01%,882.56,884.62,881.5,"12:10 ET"
$SRIN,"S&P 500 Industrials [Sector]",1295.62,1.1999999999998,+0.09%,1292.66,1296.55,1291.96,"12:10 ET"
$SRMA,"S&P 500 Materials [Sector]",582.91,-0.03,-0.01%,580.37,583.51,580.16,"12:10 ET"
$SRRE,"S&P 500 Real Estate [Sector]",264.19,0.93000000000001,+0.35%,263.63,265.43,263.63,"12:10 ET"
$SRUT,"S&P 500 Utilities [Sector]",430.74,-0.55,-0.13%,431.27,432.44,430.15,"12:10 ET"
$DOWI,"Dow Jones Industrial Average",45524.16,106.09,+0.23%,45417.46,45557.82,45372.78,"12:10 ET"
$DOWT,"Dow Jones Transportation Average",15875.88,12.67,+0.08%,15851.2,15949.78,15810.96,"12:10 ET"
$DOWU,"Dow Jones Utility Average",1098.66,-0.5,-0.05%,1098.85,1101.52,1096.41,"12:10 ET"
$DOWC,"Dow Jones Composite Average",14188.56,23.289999999999,+0.16%,14162.31,14208.97,14144.37,"12:10 ET"
$IUXX,"Nasdaq 100 Index",23553.19,27.899999999998,+0.12%,23499.67,23564.96,23434.31,"12:05 ET"
$NASX,"Nasdaq Composite",21580.66,36.389999999999,+0.17%,21526.33,21592.26,21476.3,"12:05 ET"
$HGX,"PHLX Housing Index",743.51,-2.29,-0.31%,744.16,749.13,742.19,"12:05 ET"
$OSX,"PHLX Oil Service",64.63,0.92999999999999,+1.46%,63.84,65.16,63.77,"12:05 ET"
$SOX,"PHLX Semiconductor Index",5815.31,7.3900000000003,+0.13%,5789.72,5816.73,5766.77,"12:05 ET"
$UTY,"PHLX Utility Index",1054.59,-2.09,-0.20%,1057.23,1059.18,1053.07,"12:05 ET"
$XAU,"PHLX Gold/Silver Index",241.82,-2.24,-0.92%,242.12,242.26,239.84,"12:05 ET"
$VIX,"CBOE Volatility Index",14.89,0.27,+1.85%,14.66,15.01,14.66,"12:05 ET"
$VXN,"Nasdaq 100 VIX",18.76,0.57,+3.13%,18.72,18.89,18.49,"12:05 ET"
$GNX,"S&P GSCI Index",546.12,2.99,+0.55%,543.13,546.12,541.2,"12:10 ET"
$BCI,"DJ Commodity Index",1057.8,2.8499999999999,+0.27%,1055.56,1057.86,1051.27,"12:10 ET"
$DXY,"U.S. Dollar Index",98.38,0.16,+0.16%,98.27,98.73,98.24,"12:10 ET"
"Downloaded from Barchart.com as of 08-27-2025 11:20am CDT"
