Symbol,Name,Last,Change,%Chg,Open,High,Low,Time
$SPX,"S&P 500 Index",6487.45,6.0500000000002,+0.09%,6483.84,6487.45,6482.92,2025-08-28
$ONE,"S&P 100 Index",3210.73,2.7800000000002,+0.09%,3208.85,3210.73,3207.76,"09:30 ET"
$IDX,"S&P Midcap 400",3274.88,10.31,+0.32%,3272.52,3276.82,3272.52,"09:35 ET"
$IQY,"S&P Smallcap 600",1447.47,1.78,+0.12%,1449.2,1450.29,1447.36,"09:35 ET"
$ESG,"S&P 500 ESG",564.28,0.52999999999997,+0.09%,563.71,564.88,563.71,"09:35 ET"
$IGX,"S&P 500 Growth",4674.12,13.98,+0.30%,4660.13,4681.2,4659.25,"09:35 ET"
$IVX,"S&P 500 Value",2004.47,-0.24,-0.01%,2006.31,2006.31,2002.78,"09:35 ET"
$IQX,"S&P 500 Equal Weighted",7638.98,-0.48,-0.01%,7639.46,7647.32,7633.8,"09:35 ET"
$SFTI,"S&P 500 Index Total Return",978.87,1.35,+0.14%,977.63,979.47,973.91,"09:35 ET"
$SRFI,"S&P 500 Financials [Sector]",893.75,0.67999999999995,+0.08%,894.86,894.95,892.74,"09:35 ET"
$SRHC,"S&P 500 Health Care [Sector]",1586.14,-7.09,-0.45%,1590.48,1590.48,1584.78,"09:35 ET"
$SREN,"S&P 500 Energy [Sector]",676.08,-1.98,-0.29%,678.56,678.56,674.37,"09:35 ET"
$SRIT,"S&P 500 Information Technology [Sector]",5306.63,19.86,+0.38%,5288.38,5322.74,5288.38,"09:35 ET"
$SRTS,"S&P 500 Communication Services [Sector]",399.67,1.69,+0.42%,397.19,399.73,396.43,"09:35 ET"
$SRCD,"S&P 500 Consumer Discretionary [Sector]",1882.31,5.99,+0.32%,1877.76,1883.33,1877.76,"09:35 ET"
$SRCS,"S&P 500 Consumer Staples [Sector]",883.63,-2.1,-0.24%,885.58,885.58,882.91,"09:35 ET"
$SRIN,"S&P 500 Industrials [Sector]",1296.34,2.1299999999999,+0.16%,1297.79,1298.06,1296.06,"09:35 ET"
$SRMA,"S&P 500 Materials [Sector]",583.95,-0.1,-0.02%,585.6,585.63,583.6,"09:35 ET"
$SRRE,"S&P 500 Real Estate [Sector]",263.7,-0.7,-0.26%,264.63,264.63,263.7,"09:35 ET"
$SRUT,"S&P 500 Utilities [Sector]",430.62,-0.92,-0.21%,430.88,430.98,430.33,"09:35 ET"
$DOWI,"Dow Jones Industrial Average",45564.9,-0.33,0.00%,45581.03,45613.46,45530.57,"09:35 ET"
$DOWT,"Dow Jones Transportation Average",15974.24,88.68,+0.56%,15973.7,16015.88,15973.7,"09:35 ET"
$DOWU,"Dow Jones Utility Average",1099.03,-1.7,-0.15%,1099.71,1100.1,1098.06,"09:35 ET"
$DOWC,"Dow Jones Composite Average",14215.85,13.59,+0.10%,14220.83,14233.86,14213.19,"09:35 ET"
$IUXX,"Nasdaq 100 Index",23565.85,40.559999999998,+0.17%,23499.67,23591.05,23434.31,2025-08-27
$NASX,"Nasdaq Composite",21624.88,34.740000000002,+0.16%,21619.27,21624.88,21619.27,"09:30 ET"
$HGX,"PHLX Housing Index",747.69,2.0100000000001,+0.27%,747.69,747.69,747.69,"09:30 ET"
$OSX,"PHLX Oil Service",65.26,0.25,+0.38%,65.27,65.27,65.26,"09:30 ET"
$SOX,"PHLX Semiconductor Index",5859.45,34.84,+0.60%,5859.18,5859.45,5858.93,"09:30 ET"
$UTY,"PHLX Utility Index",1053.96,-2.64,-0.25%,1053.96,1053.96,1053.96,"09:30 ET"
$XAU,"PHLX Gold/Silver Index",243.32,-0.74,-0.30%,242.12,243.71,239.84,2025-08-27
$VIX,"CBOE Volatility Index",14.15,-0.7,-4.71%,14.42,14.54,14.14,"09:25 ET"
$VXN,"Nasdaq 100 VIX",18.69,0.5,+2.75%,18.73,19.07,18.49,2025-08-27
$GNX,"S&P GSCI Index",545.14,-1.07,-0.20%,546.21,546.57,543.96,"09:35 ET"
$BCI,"DJ Commodity Index",1057.24,-0.72,-0.07%,1057.33,1059.29,1055.3,"09:35 ET"
$DXY,"U.S. Dollar Index",98.02,-0.21,-0.21%,98.12,98.23,97.84,"09:35 ET"
"Downloaded from Barchart.com as of 08-28-2025 08:45am CDT"
